symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2016-08-19 00:00:00+00:00,62.26,62.73,61.8,62.07,7288978,61.280761298,61.7433690366,60.8279962771,61.0937496589,7288978,0.0,1.0
NVDA,2016-08-22 00:00:00+00:00,62.52,62.612,61.711,62.45,6118683,61.5366719619,61.6272249661,60.7403960883,61.467772937,6118683,0.0,1.0
NVDA,2016-08-23 00:00:00+00:00,62.91,63.32,62.73,63.04,8494058,62.033729213,62.43801834,61.8562364256,62.1619184484,8494058,0.115,1.0
NVDA,2016-08-24 00:00:00+00:00,61.94,63.16,61.65,63.13,7461244,61.0772403029,62.2802469734,60.7912797009,62.2506648421,7461244,0.0,1.0
NVDA,2016-08-25 00:00:00+00:00,61.53,61.99,60.76,61.96,10150783,60.6729511759,61.126543855,59.9136764741,61.0969617237,10150783,0.0,1.0
NVDA,2016-08-26 00:00:00+00:00,62.03,62.38,61.2,61.69,7500624,61.1659866966,61.5111115611,60.3475477323,60.8307225426,7500624,0.0,1.0
NVDA,2016-08-29 00:00:00+00:00,61.99,62.53,61.885,62.28,6866279,61.126543855,61.6590222173,61.0230063956,61.412504457,6866279,0.0,1.0
NVDA,2016-08-30 00:00:00+00:00,61.63,62.2426,61.46,61.91,7138622,60.7715582801,61.3756254,60.603926203,61.0476581717,7138622,0.0,1.0
NVDA,2016-08-31 00:00:00+00:00,61.34,61.92,61.16,61.75,9713642,60.4855976781,61.0575188821,60.3081048906,60.889886805,9713642,0.0,1.0
NVDA,2016-09-01 00:00:00+00:00,63.15,63.38,61.34,61.39,10712305,62.270386263,62.4971826025,60.4855976781,60.5349012301,10712305,0.0,1.0
NVDA,2016-09-02 00:00:00+00:00,62.53,63.35,61.82,63.28,8078742,61.6590222173,62.4676004712,60.9589117779,62.3985754983,8078742,0.0,1.0
NVDA,2016-09-06 00:00:00+00:00,63.12,63.12,62.429,62.75,7670320,62.2408041317,62.2408041317,61.5594290421,61.8759578464,7670320,0.0,1.0
NVDA,2016-09-07 00:00:00+00:00,62.19,63.2285,61.83,62.92,9949700,61.3237580632,62.3477928397,60.9687724884,62.0435899235,9949700,0.0,1.0
NVDA,2016-09-08 00:00:00+00:00,62.64,62.74,61.42,62.13,7895219,61.7674900319,61.866097136,60.5644833614,61.2645938008,7895219,0.0,1.0
